id,title,type,status,priority,description,assignee,labels,storyPoints,parentId,sprintId,done
a58b1aab-f3c3-e24c-8d05-bc866e5cbe6c,"FEAT- Auth & User Management (login, admin-only user CRUD, invite emails)",task,done,high,"As a user, I want to be able to log in securely, so that I can access the application's features. As an admin, I want to manage users and their roles, so that I can control access and data integrity.",,v1.0;shipped;area:identity;area:security;module:auth,13,,,true
eede6de4-3979-4ff6-fff5-554cac5e9bc5,"FEAT- Employee Management (profiles, departments)",task,done,high,"As a HR Manager, I want to be able to manage employee profiles and departments, so that we can efficiently organize our team and make informed decisions.",,v1.0;shipped;area:hr;module:employees,8,,,true
1092e742-e07c-568e-ec71-95d3ddcc6579,"FEAT- Student Management (enrollment, courses)",task,done,high,"Enrollment and course assignment for students, with department and batch scoping.",,v1.0;shipped;area:academics;module:students,8,,,true
b81df66c-3489-d6d1-2f0e-2e5bbc79cf5a,"FEAT- Attendance (individual & bulk, students/employees)",task,done,high,Individual and bulk attendance capture for both students and employees.,,v1.0;shipped;area:academics;area:hr;module:attendance,8,,,true
a8041bc9-b69d-53b8-5d7f-5abe5cf72888,"FEAT- Marks & Grades (entry, auto grade calc)",task,done,high,Marks entry with automatic grade calculation from the configured scheme.,,v1.0;shipped;area:academics;module:marks,8,,,true
656fe3f5-0357-317d-d4af-112ff9950216,FEAT- Leave Management (apply/approve/reject),task,done,medium,Leave application workflow with approve and reject actions.,,v1.0;shipped;area:hr;module:leave,5,,,true
04da57f3-dcdd-74ac-6868-781e6bc8e425,"FEAT- Grading module (configurable schemes, live SGPA/CGPA, PDF)",task,done,high,Configurable grading schemes with live SGPA/CGPA computation and PDF transcript export.,,v1.0;shipped;area:academics;module:grading;has:pdf-export,13,,,true
ea365511-1bbc-cc03-6136-3d5f826be356,"FEAT- Fee management (categories, structures, allocations, payments)",task,done,high,"Fee categories, structures, per-student allocations and payment recording.",,v1.0;shipped;area:finance;module:fees,13,,,true
78f6af34-563d-045b-267e-e72632698750,FEAT- Hostel bed visualizer & allocation,task,done,medium,Visual hostel bed map with allocation and vacancy tracking.,,v1.0;shipped;area:campus;module:hostel,8,,,true
ce047e11-1e7a-a766-d895-fc1a1cca944e,"FEAT- Transport module (routes, vehicles, allocations)",task,done,medium,Route and vehicle registry with student/employee transport allocation.,,v1.0;shipped;area:campus;module:transport,8,,,true
0b44dba2-9671-9de8-aef4-53b3976e31dc,FEAT- Timetable + bulk upload,task,done,medium,Timetable builder with bulk upload of periods and slot assignments.,,v1.0;shipped;area:academics;module:timetable;has:bulk-upload,8,,,true
4f692a69-d20b-4155-a886-9293945a9123,FEAT- Events module,task,done,low,"Campus events creation, scheduling and visibility scoping.",,v1.0;shipped;area:campus;module:events,5,,,true
b11bc81f-ad8e-027b-d4e7-3661dde42100,FEAT- Curriculum + subject plan,task,done,medium,Curriculum definition and per-subject teaching plan.,,v1.0;shipped;area:academics;module:curriculum,8,,,true
18d3cbf1-7afa-bb51-40e1-6e76fe8432fe,FEAT- Exams / ExamType module,task,done,medium,Exam types and exam scheduling tied to curriculum and marks entry.,,v1.0;shipped;area:academics;module:exams,5,,,true
